ProjectID,Year,Region,ProjectType,TotalSpending,PrePlanningSpending,DesignSpending,ConstructionSpending,ProjectDuration,NumberOfStakeholders,QualityAssuranceScore,RiskLevel,ComplianceStatus,NumberOfChangeOrders,NumberOfInspections
PROJ00636,2020,Este,Comercial,33405487.15,3034695.76,3680703.1,26690088.29,54,23,2,Bajo,Cumplido,0,1
PROJ00637,2021,Centro,Educación,13189953.95,1019756.54,2114213.48,10055983.93,14,11,8,Bajo,No Cumplido,5,8
PROJ00638,2019,Este,Salud,7674131.84,1112769.67,842585.06,5718777.109999999,52,18,1,Alto,Cumplido,3,3
PROJ00639,2015,Sur,Industrial,29426929.16,2384807.77,4428685.63,22613435.76,16,23,5,Medio,Cumplido,1,1
PROJ00640,2023,Oeste,Residencial,85756191.8,10030665.35,10073949.07,65651577.38,53,48,3,Medio,Cumplido,3,6
PROJ00641,2020,Sur,Salud,100000000.0,14637777.18,10865356.84,74496865.97999999,23,13,4,Bajo,Cumplido,2,3
PROJ00642,2020,Oeste,Educación,100000000.0,11979864.43,14537834.18,73482301.38999999,48,30,3,Alto,Cumplido,3,11
PROJ00643,2020,Oeste,Salud,97371940.67,11561819.54,15017746.35,70792374.78,40,22,2,Bajo,No Cumplido,4,5
PROJ00644,2016,Centro,Comercial,12209534.26,1566958.78,2225628.07,8416947.41,45,21,10,Medio,Cumplido,1,5
PROJ00645,2015,Centro,Salud,3556555.93,408981.76,560649.67,2586924.5,21,25,3,Medio,Cumplido,4,9
PROJ00646,2015,Este,Comercial,100000000.0,9091550.81,15863469.35,75044979.84,15,22,2,Bajo,Cumplido,0,3
PROJ00647,2015,Centro,Infraestructura,100000000.0,7339895.93,13177784.41,79482319.66,42,18,10,Medio,Cumplido,2,15
PROJ00648,2015,Sur,Industrial,100000000.0,14566749.68,12974680.62,72458569.69999999,23,5,2,Alto,Cumplido,8,12
PROJ00649,2015,Sur,Salud,100000000.0,11457308.29,12988271.97,75554419.74000001,41,23,3,Medio,Cumplido,5,4
PROJ00650,2022,Oeste,Educación,33680375.58,1707503.99,3526859.24,28446012.35,50,42,5,Medio,Cumplido,2,9
PROJ00651,2021,Este,Residencial,71127414.32,6230673.1,9125732.81,55771008.40999999,59,35,3,Alto,No Cumplido,2,14
PROJ00652,2018,Este,Comercial,55241622.93,2989632.98,9899362.59,42352627.36,28,25,6,Bajo,Cumplido,2,7
PROJ00653,2020,Este,Infraestructura,27480042.01,3729788.89,4927620.0,18822633.12,58,46,7,Alto,Cumplido,0,6
PROJ00654,2019,Oeste,Residencial,100000000.0,7207634.13,17443527.88,75348837.99000001,28,12,8,Alto,Cumplido,0,15
PROJ00655,2018,Centro,Residencial,6089558.01,632770.33,1000093.33,4456694.35,43,12,7,Bajo,Cumplido,2,7
PROJ00656,2019,Norte,Residencial,100000000.0,7006285.85,18781550.44,74212163.71000001,55,12,8,Medio,No Cumplido,2,5
PROJ00657,2020,Sur,Infraestructura,100000000.0,11383763.07,18654586.83,69961650.10000001,55,19,4,Bajo,Cumplido,2,4
PROJ00658,2016,Oeste,Comercial,100000000.0,11518822.75,13823268.52,74657908.73,13,11,2,Alto,No Cumplido,3,11
PROJ00659,2018,Sur,Educación,13729120.1,1736414.97,2286267.68,9706437.45,27,45,9,Bajo,Cumplido,6,9
PROJ00660,2021,Centro,Residencial,39485013.18,4050372.19,7444251.28,27990389.71,17,20,5,Alto,Cumplido,7,5
PROJ00661,2022,Centro,Residencial,100000000.0,13325529.47,17398494.15,69275976.38,17,11,9,Bajo,Cumplido,1,6
PROJ00662,2019,Oeste,Residencial,50782599.88,6408352.19,9776485.61,34597762.080000006,14,10,2,Bajo,Cumplido,3,14
PROJ00663,2015,Oeste,Comercial,9041445.2,919296.82,1787778.42,6334369.959999999,44,11,1,Medio,Cumplido,2,3
PROJ00664,2015,Norte,Infraestructura,27301006.19,3692094.94,4116598.89,19492312.36,14,28,5,Alto,Cumplido,3,4
PROJ00665,2022,Este,Comercial,22922857.02,1427431.05,3659776.57,17835649.4,29,27,7,Bajo,Cumplido,3,1
PROJ00666,2018,Norte,Residencial,100000000.0,6402465.3,14579807.95,79017726.75,18,33,2,Alto,Cumplido,7,15
PROJ00667,2018,Oeste,Residencial,14930593.76,2224482.63,2143291.34,10562819.79,43,16,3,Bajo,No Cumplido,1,6
PROJ00668,2015,Norte,Residencial,100000000.0,6307874.57,10898293.35,82793832.08000001,20,45,9,Medio,Cumplido,1,10
PROJ00669,2015,Sur,Comercial,31683035.72,3582351.16,4332144.93,23768539.63,37,12,1,Medio,Cumplido,0,4
PROJ00670,2019,Centro,Salud,5181060.68,590129.24,749875.44,3841055.9999999995,38,40,1,Alto,Cumplido,5,3
PROJ00671,2019,Centro,Residencial,100000000.0,8870775.56,15965606.51,75163617.92999999,50,23,4,Bajo,Cumplido,2,4
PROJ00672,2020,Norte,Educación,100000000.0,9356518.08,11262141.19,79381340.73,13,20,8,Bajo,Cumplido,3,5
PROJ00673,2023,Este,Infraestructura,100000000.0,10170183.86,19813679.8,70016136.34,35,16,8,Alto,No Cumplido,4,4
PROJ00674,2023,Oeste,Industrial,22946833.44,2241260.95,3124345.53,17581226.96,56,23,1,Bajo,Cumplido,1,9
PROJ00675,2015,Centro,Infraestructura,18613390.73,2104107.48,2336829.06,14172454.19,27,9,4,Bajo,Cumplido,0,14
PROJ00676,2016,Norte,Comercial,15962425.5,899518.19,2250425.1,12812482.21,19,32,6,Bajo,Cumplido,0,8
PROJ00677,2020,Oeste,Educación,100000000.0,7295569.71,14797008.5,77907421.79,22,6,1,Alto,Cumplido,1,7
PROJ00678,2021,Centro,Industrial,100000000.0,10668733.6,13429066.26,75902200.14,55,12,1,Bajo,Cumplido,3,5
PROJ00679,2016,Norte,Residencial,89225346.74,9481305.94,15784113.69,63959927.11,56,24,4,Bajo,Cumplido,1,6
PROJ00680,2019,Oeste,Comercial,94282980.99,6991529.07,18415297.51,68876154.40999998,49,16,4,Bajo,Cumplido,5,9
PROJ00681,2015,Este,Infraestructura,100000000.0,5929656.02,12229124.38,81841219.60000001,23,11,8,Alto,Cumplido,3,12
PROJ00682,2019,Norte,Comercial,100000000.0,7095514.89,10453856.16,82450628.95,53,37,9,Bajo,Cumplido,4,3
PROJ00683,2022,Norte,Residencial,100000000.0,10296495.25,15660045.5,74043459.25,17,10,2,Medio,Cumplido,2,11
PROJ00684,2022,Norte,Residencial,24081760.01,2124284.75,3948849.26,18008626.0,60,50,6,Alto,Cumplido,1,7
PROJ00685,2022,Centro,Residencial,100000000.0,7958159.93,18557450.71,73484389.35999998,43,44,2,Medio,Cumplido,2,2
PROJ00686,2021,Este,Infraestructura,23130438.77,1268546.57,4405478.89,17456413.31,44,24,5,Bajo,Cumplido,0,4
PROJ00687,2017,Este,Residencial,16012777.63,884923.82,1619158.4,13508695.41,29,9,2,Bajo,Cumplido,5,12
PROJ00688,2021,Norte,Residencial,39249289.56,5152145.75,4630727.76,29466416.050000004,48,26,1,Bajo,No Cumplido,5,13
PROJ00689,2015,Norte,Infraestructura,100000000.0,10497949.83,13261642.53,76240407.64,23,33,4,Bajo,Cumplido,1,8
PROJ00690,2017,Este,Educación,96217352.35,13791738.84,12618466.65,69807146.85999998,37,29,9,Bajo,Cumplido,2,7
PROJ00691,2022,Oeste,Infraestructura,28740562.48,2143218.99,4291494.15,22305849.340000004,22,43,5,Alto,No Cumplido,2,8
PROJ00692,2022,Norte,Infraestructura,17846337.43,1140092.53,2034496.89,14671748.01,28,16,3,Bajo,Cumplido,5,11
PROJ00693,2017,Este,Industrial,100000000.0,5300550.17,18468781.72,76230668.11,26,24,8,Medio,Cumplido,5,8
PROJ00694,2021,Centro,Comercial,22616293.66,2473084.42,3439436.18,16703773.060000002,58,38,7,Bajo,Cumplido,2,8
PROJ00695,2016,Este,Residencial,48684117.94,5323824.71,9648911.45,33711381.78,46,49,3,Bajo,Cumplido,3,14
PROJ00696,2018,Oeste,Infraestructura,11462219.29,819792.11,1859476.6,8782950.58,12,44,2,Bajo,Cumplido,0,3
PROJ00697,2022,Norte,Residencial,100000000.0,9086040.49,14076691.53,76837267.98,52,20,3,Medio,Cumplido,2,7
PROJ00698,2015,Este,Infraestructura,26588284.48,1647764.43,3540258.68,21400261.37,26,19,3,Alto,Cumplido,3,10
PROJ00699,2020,Sur,Comercial,6137431.19,397379.29,1144881.02,4595170.880000001,40,24,3,Bajo,Cumplido,7,1
PROJ00700,2019,Norte,Infraestructura,37062429.78,4192300.07,6961024.15,25909105.560000002,42,45,7,Medio,Cumplido,2,9
PROJ00701,2020,Norte,Educación,62931596.51,5132165.75,7825879.08,49973551.68,40,41,2,Bajo,Cumplido,3,11
PROJ00702,2020,Sur,Comercial,18714855.15,1501305.9,2789172.42,14424376.83,56,18,10,Bajo,No Cumplido,3,10
PROJ00703,2018,Norte,Salud,100000000.0,11000712.8,14320947.83,74678339.37,21,45,5,Bajo,Cumplido,1,5
PROJ00704,2023,Centro,Residencial,12531770.03,935721.74,2338447.87,9257600.419999998,39,46,7,Bajo,Cumplido,4,8
PROJ00705,2015,Centro,Salud,92181691.2,4756865.51,11322169.97,76102655.72,37,31,4,Bajo,Cumplido,2,1
PROJ00706,2016,Oeste,Residencial,6053346.7,487604.65,696719.02,4869023.029999999,40,36,1,Bajo,Cumplido,1,10
PROJ00707,2020,Oeste,Infraestructura,100000000.0,13740028.08,14491658.68,71768313.24000001,42,44,7,Bajo,Cumplido,6,14
PROJ00708,2019,Este,Infraestructura,97457426.57,13407557.61,14161790.08,69888078.88,26,44,7,Alto,No Cumplido,1,8
PROJ00709,2016,Este,Infraestructura,99463572.25,14110332.55,12906902.91,72446336.79,22,48,4,Medio,Cumplido,0,11
PROJ00710,2020,Centro,Infraestructura,100000000.0,6932782.75,18118456.64,74948760.61,12,42,2,Bajo,Cumplido,2,14
PROJ00711,2015,Norte,Comercial,22300385.76,2608800.66,4059885.71,15631699.39,55,12,7,Alto,Cumplido,1,8
PROJ00712,2021,Sur,Industrial,100000000.0,9922045.96,16930845.82,73147108.22,35,17,9,Medio,No Cumplido,5,8
PROJ00713,2023,Centro,Industrial,100000000.0,7631686.48,19527203.15,72841110.37,44,47,1,Medio,Cumplido,6,14
PROJ00714,2023,Oeste,Comercial,71103994.45,8132147.64,7751286.37,55220560.440000005,47,38,6,Medio,Cumplido,2,2
PROJ00715,2021,Oeste,Comercial,100000000.0,11100210.75,19452312.01,69447477.24,47,21,10,Medio,Cumplido,6,3
PROJ00716,2018,Oeste,Salud,76497036.29,4932824.81,8819311.79,62744899.690000005,45,23,1,Bajo,Cumplido,3,8
PROJ00717,2019,Sur,Infraestructura,9801599.07,1235953.71,1689735.45,6875909.909999999,34,39,9,Bajo,Cumplido,1,4
PROJ00718,2019,Oeste,Residencial,86998437.43,12272358.33,12574268.58,62151810.52000001,36,11,7,Medio,Cumplido,4,15
PROJ00719,2018,Oeste,Infraestructura,100000000.0,8089885.87,15257300.84,76652813.28999999,14,30,10,Medio,Cumplido,3,2
PROJ00720,2021,Este,Educación,100000000.0,5991711.83,13815450.12,80192838.05,35,16,10,Medio,Cumplido,2,12
PROJ00721,2020,Norte,Residencial,2100640.74,181389.81,285203.86,1634047.0700000003,25,26,8,Alto,Cumplido,3,6
PROJ00722,2023,Norte,Educación,29237511.41,3944491.52,4684465.34,20608554.55,15,40,8,Bajo,Cumplido,1,15
PROJ00723,2016,Sur,Infraestructura,54267212.93,5221971.46,8663862.65,40381378.82,51,24,5,Bajo,Cumplido,1,2
PROJ00724,2018,Oeste,Educación,39764306.99,5025898.73,6814714.38,27923693.880000006,19,50,1,Bajo,Cumplido,2,15
PROJ00725,2023,Este,Infraestructura,100000000.0,10853704.19,17166259.93,71980035.88,58,32,7,Bajo,Cumplido,3,1
PROJ00726,2016,Norte,Infraestructura,11995873.19,1770303.23,1235255.05,8990314.909999998,49,11,7,Bajo,No Cumplido,3,2
PROJ00727,2020,Sur,Salud,63016768.36,6661439.95,9716252.13,46639076.279999994,34,8,2,Medio,Cumplido,4,4
PROJ00728,2023,Este,Industrial,100000000.0,12826899.73,16658172.67,70514927.6,20,5,8,Bajo,Cumplido,3,10
PROJ00729,2015,Oeste,Comercial,100000000.0,8847055.88,17791708.26,73361235.86,16,16,4,Bajo,No Cumplido,4,11
PROJ00730,2018,Sur,Comercial,37752658.56,3583084.73,7130240.08,27039333.750000007,46,9,7,Bajo,Cumplido,1,11
PROJ00731,2022,Este,Residencial,21168443.69,1630562.06,2806947.97,16730933.660000002,19,31,2,Medio,Cumplido,1,7
PROJ00732,2016,Norte,Educación,28665288.63,2160377.24,3995383.11,22509528.28,34,42,3,Bajo,Cumplido,4,15
PROJ00733,2022,Centro,Residencial,2721873.74,286621.09,299093.88,2136158.7700000005,47,17,10,Bajo,Cumplido,4,2
PROJ00734,2023,Norte,Salud,100000000.0,11712070.45,14445479.41,73842450.14,16,7,10,Alto,Cumplido,2,12
PROJ00735,2015,Centro,Salud,13914062.05,745484.31,2665686.23,10502891.51,16,46,10,Medio,Cumplido,5,9
PROJ00736,2022,Sur,Infraestructura,2373980.13,127990.94,307484.51,1938504.68,37,28,2,Bajo,Cumplido,6,13
PROJ00737,2020,Este,Residencial,50474373.07,2664255.86,6249044.92,41561072.29,56,19,6,Bajo,Cumplido,1,2
PROJ00738,2021,Este,Educación,33988865.96,3511730.71,3960195.93,26516939.32,45,42,4,Bajo,Cumplido,0,6
PROJ00739,2023,Este,Infraestructura,52586510.61,5696295.76,8311701.82,38578513.03,16,35,3,Alto,Cumplido,3,3
PROJ00740,2022,Oeste,Residencial,100000000.0,10491201.05,15234164.67,74274634.28,21,11,1,Bajo,Cumplido,2,5
PROJ00741,2020,Norte,Industrial,100000000.0,9840056.04,14468762.26,75691181.7,41,18,1,Alto,Cumplido,1,2
PROJ00742,2016,Centro,Educación,100000000.0,10605120.36,12674736.16,76720143.48,48,24,5,Alto,Cumplido,2,5
PROJ00743,2015,Oeste,Infraestructura,83238344.35,6667413.83,16459781.46,60111149.059999995,47,46,10,Medio,No Cumplido,4,11
PROJ00744,2015,Sur,Residencial,100000000.0,14143845.91,11608640.13,74247513.96000001,39,48,10,Bajo,Cumplido,5,2
PROJ00745,2020,Sur,Industrial,11076886.46,1496418.21,1414493.32,8165974.93,13,26,3,Bajo,Cumplido,3,12
PROJ00746,2021,Oeste,Residencial,89443837.02,8951343.01,11753203.55,68739290.46,34,10,4,Alto,Cumplido,1,8
PROJ00747,2018,Centro,Salud,42495913.52,4723674.79,6029353.49,31742885.240000002,20,40,9,Alto,Cumplido,3,14
PROJ00748,2021,Sur,Infraestructura,18783057.06,2084475.48,2216895.02,14481686.559999999,52,20,10,Medio,Cumplido,1,15
PROJ00749,2016,Norte,Residencial,100000000.0,7408422.92,11536724.21,81054852.87,52,47,4,Bajo,Cumplido,6,3
PROJ00750,2022,Sur,Residencial,100000000.0,6594223.93,12422850.88,80982925.19,30,43,6,Bajo,Cumplido,1,7
PROJ00751,2022,Centro,Salud,100000000.0,13899456.19,15246357.75,70854186.06,59,43,7,Bajo,Cumplido,2,2
PROJ00752,2015,Norte,Salud,11813140.08,1053017.75,2084609.48,8675512.85,45,40,6,Alto,Cumplido,4,9
PROJ00753,2022,Oeste,Residencial,100000000.0,14087537.36,12776226.85,73136235.79,29,11,8,Bajo,Cumplido,0,12
PROJ00754,2021,Centro,Residencial,57281612.31,6836154.22,10244428.6,40201029.49,53,26,8,Bajo,Cumplido,6,3
PROJ00755,2015,Norte,Infraestructura,100000000.0,12316308.81,10672220.27,77011470.92,50,50,8,Alto,Cumplido,2,9
PROJ00756,2019,Norte,Residencial,100000000.0,6826760.76,12342271.32,80830967.91999999,56,18,2,Bajo,Cumplido,4,4
PROJ00757,2017,Norte,Infraestructura,7070351.58,981165.79,1005356.79,5083829.0,26,28,10,Bajo,Cumplido,4,14
PROJ00758,2022,Centro,Residencial,23645627.58,3059635.01,3176849.62,17409142.95,41,36,10,Bajo,Cumplido,4,10
PROJ00759,2020,Este,Residencial,53045015.58,2962462.42,6774219.32,43308333.839999996,55,34,10,Medio,Cumplido,6,14
PROJ00760,2017,Sur,Educación,100000000.0,13995851.21,13712286.65,72291862.13999999,17,45,8,Medio,Cumplido,1,10
PROJ00761,2023,Este,Infraestructura,20126060.71,2103968.2,3673215.22,14348877.290000001,60,38,7,Medio,Cumplido,2,9
PROJ00762,2020,Sur,Comercial,68138505.7,8153338.99,8066824.89,51918341.82,53,36,3,Medio,Cumplido,2,6
PROJ00763,2021,Centro,Salud,87223305.0,11569520.59,12540034.86,63113749.55,25,45,6,Bajo,Cumplido,4,9
PROJ00764,2021,Sur,Residencial,100000000.0,7303280.86,16461723.84,76234995.3,56,31,3,Bajo,Cumplido,5,7
PROJ00765,2019,Centro,Salud,88388820.2,7453573.28,12498130.87,68437116.05,16,38,4,Bajo,Cumplido,9,11
PROJ00766,2016,Norte,Residencial,100000000.0,13067420.39,19035752.87,67896826.74,38,26,2,Bajo,Cumplido,1,11
PROJ00767,2020,Oeste,Residencial,9217543.74,803046.56,1013541.69,7400955.49,41,21,8,Bajo,Cumplido,4,7
PROJ00768,2019,Este,Salud,100000000.0,11539458.0,14100121.25,74360420.75,47,13,4,Bajo,Cumplido,7,11
PROJ00769,2020,Este,Infraestructura,2257499.15,297716.67,441440.36,1518342.12,38,17,6,Medio,No Cumplido,2,11
PROJ00770,2020,Centro,Salud,100000000.0,12748093.42,14660011.13,72591895.45,21,44,10,Bajo,Cumplido,2,8
PROJ00771,2021,Sur,Infraestructura,100000000.0,11047124.5,18343700.94,70609174.56,16,17,2,Medio,Cumplido,5,8
PROJ00772,2018,Sur,Industrial,100000000.0,14243466.9,10684471.81,75072061.28999999,50,13,1,Bajo,Cumplido,3,9
PROJ00773,2023,Oeste,Residencial,3201746.67,255451.67,554653.15,2391641.85,42,32,1,Bajo,No Cumplido,2,6
PROJ00774,2016,Norte,Comercial,14033243.1,1303117.49,1793860.35,10936265.26,52,37,8,Bajo,Cumplido,3,2
PROJ00775,2019,Sur,Educación,100000000.0,12726878.98,10799161.93,76473959.09,30,47,7,Bajo,Cumplido,5,5
PROJ00776,2017,Sur,Salud,79589752.4,10043373.76,12990935.94,56555442.7,22,9,8,Medio,Cumplido,4,12
PROJ00777,2022,Norte,Comercial,100000000.0,11596082.78,18047176.04,70356741.18,33,49,7,Bajo,No Cumplido,3,11
PROJ00778,2019,Oeste,Comercial,13552459.45,847824.04,1533405.73,11171229.68,26,38,6,Bajo,Cumplido,4,12
PROJ00779,2016,Sur,Comercial,36226202.41,3906858.28,3861694.65,28457649.479999997,60,47,9,Medio,Cumplido,1,10
PROJ00780,2023,Centro,Comercial,100000000.0,14659011.0,19297590.83,66043398.17,26,9,7,Alto,Cumplido,2,6
PROJ00781,2017,Norte,Infraestructura,100000000.0,7639228.7,14016624.48,78344146.82,48,47,2,Bajo,Cumplido,2,9
PROJ00782,2018,Sur,Educación,27204605.94,1547868.35,3290221.05,22366516.54,21,27,1,Bajo,Cumplido,2,3
PROJ00783,2018,Oeste,Salud,28882907.22,1486797.86,5667781.17,21728328.189999998,39,21,2,Bajo,Cumplido,3,7
PROJ00784,2019,Este,Salud,100000000.0,11034366.89,19364653.27,69600979.84,32,21,5,Medio,Cumplido,4,13
PROJ00785,2016,Centro,Residencial,100000000.0,5521464.45,12707102.62,81771432.92999999,27,32,3,Medio,Cumplido,2,10
PROJ00786,2021,Centro,Industrial,66100554.92,9420048.07,7876428.73,48804078.120000005,14,17,1,Medio,No Cumplido,1,7
PROJ00787,2017,Centro,Comercial,7654041.16,1059460.11,861503.01,5733078.04,31,23,2,Bajo,Cumplido,7,9
PROJ00788,2020,Centro,Salud,36490967.85,5113146.63,5142018.25,26235802.970000003,34,15,2,Bajo,Cumplido,4,11
PROJ00789,2019,Este,Educación,13959179.02,1602855.42,2475640.37,9880683.23,12,36,2,Medio,Cumplido,3,11
PROJ00790,2016,Este,Residencial,100000000.0,5310260.46,13471733.56,81218005.98,38,40,3,Bajo,Cumplido,3,7
PROJ00791,2020,Este,Residencial,51076037.49,5423476.25,6379656.91,39272904.33,16,12,3,Medio,Cumplido,3,8
PROJ00792,2019,Este,Residencial,100000000.0,5775209.48,17808895.59,76415894.92999999,49,43,5,Bajo,Cumplido,2,3
PROJ00793,2020,Oeste,Comercial,100000000.0,5821409.59,13822891.04,80355699.37,59,31,2,Medio,Cumplido,0,2
PROJ00794,2022,Sur,Infraestructura,54706457.15,3039971.2,5813811.4,45852674.55,34,6,10,Medio,Cumplido,2,9
PROJ00795,2019,Este,Comercial,100000000.0,6214441.26,14438527.22,79347031.52,55,22,10,Bajo,Cumplido,4,2
PROJ00796,2019,Este,Industrial,51187195.1,5266321.37,9521496.67,36399377.06,47,14,9,Medio,No Cumplido,3,4
PROJ00797,2017,Oeste,Residencial,100000000.0,10668743.93,19880349.2,69450906.86999999,24,47,1,Alto,Cumplido,4,12
PROJ00798,2017,Norte,Salud,29807877.78,3806095.06,4702339.49,21299443.230000004,31,8,3,Bajo,Cumplido,5,5
PROJ00799,2016,Oeste,Residencial,100000000.0,12832412.38,13962313.1,73205274.52000001,35,29,5,Bajo,No Cumplido,4,5
PROJ00800,2018,Norte,Infraestructura,100000000.0,7982207.96,15606745.05,76411046.99000001,39,44,8,Bajo,Cumplido,5,9
PROJ00801,2015,Centro,Residencial,100000000.0,9446321.39,13833689.2,76719989.41,32,12,10,Medio,Cumplido,1,4
PROJ00802,2016,Oeste,Infraestructura,100000000.0,10085647.92,12876394.24,77037957.84,55,8,3,Medio,Cumplido,3,7
PROJ00803,2016,Centro,Residencial,13832728.01,698920.71,2400413.37,10733393.93,53,22,3,Bajo,No Cumplido,3,2
PROJ00804,2021,Norte,Comercial,100000000.0,13772903.55,12088533.32,74138563.13,60,22,5,Bajo,Cumplido,5,4
PROJ00805,2023,Oeste,Salud,3214894.48,320834.17,358749.29,2535311.02,32,37,3,Bajo,Cumplido,2,3
PROJ00806,2021,Norte,Infraestructura,71779276.9,7745839.72,13072331.5,50961105.68000001,60,9,7,Bajo,Cumplido,4,12
PROJ00807,2018,Norte,Residencial,18911232.22,1384061.04,1992162.65,15535008.53,14,40,1,Bajo,Cumplido,7,10
PROJ00808,2015,Centro,Comercial,29597874.95,3776804.88,3213237.33,22607832.740000002,58,16,10,Medio,Cumplido,4,3
PROJ00809,2022,Norte,Salud,100000000.0,8614101.74,14369386.18,77016512.08000001,35,20,3,Bajo,Cumplido,2,1
PROJ00810,2018,Sur,Residencial,84165687.68,9968010.78,16831466.42,57366210.480000004,46,29,6,Medio,Cumplido,3,1
PROJ00811,2017,Este,Residencial,2229592.33,226484.87,246824.68,1756282.78,32,39,10,Medio,Cumplido,2,12
PROJ00812,2020,Oeste,Residencial,60955657.51,8194198.21,8408531.63,44352927.669999994,12,37,8,Bajo,Cumplido,3,15
PROJ00813,2022,Centro,Comercial,100000000.0,10316782.03,10988906.03,78694311.94,23,13,9,Alto,Cumplido,2,14
PROJ00814,2018,Este,Residencial,54790233.39,7361700.61,7896281.5,39532251.28,12,13,2,Bajo,Cumplido,7,5
PROJ00815,2019,Centro,Comercial,76693810.67,6363888.25,10287305.02,60042617.400000006,13,36,1,Bajo,Cumplido,4,2
PROJ00816,2022,Sur,Infraestructura,14850596.14,1262428.8,2417989.62,11170177.719999999,31,44,10,Medio,Cumplido,3,10
PROJ00817,2021,Este,Industrial,28094686.42,3395178.82,5495429.67,19204077.93,19,33,2,Bajo,Cumplido,2,13
PROJ00818,2022,Oeste,Comercial,30751060.82,3664162.16,3681484.21,23405414.45,32,6,4,Alto,Cumplido,3,10
PROJ00819,2018,Norte,Comercial,39488149.82,2413490.43,6633159.75,30441499.64,60,39,7,Bajo,Cumplido,3,12
PROJ00820,2021,Norte,Infraestructura,100000000.0,8089795.84,19486190.93,72424013.22999999,23,11,7,Medio,Cumplido,1,11
PROJ00821,2018,Este,Infraestructura,48085403.0,3023125.84,8647277.57,36414999.589999996,20,40,9,Medio,Cumplido,1,9
PROJ00822,2022,Centro,Comercial,42475855.94,3114605.09,7924047.52,31437203.329999994,60,37,4,Medio,Cumplido,1,12
PROJ00823,2016,Oeste,Comercial,100000000.0,8720705.29,14200287.07,77079007.64000002,48,14,6,Bajo,Cumplido,3,12
PROJ00824,2018,Norte,Residencial,10519420.84,1557168.85,2075381.69,6886870.300000001,48,23,2,Medio,Cumplido,3,7
PROJ00825,2022,Este,Comercial,100000000.0,8712187.45,12326008.29,78961804.25999999,44,35,7,Bajo,Cumplido,3,3
PROJ00826,2023,Este,Industrial,88192964.95,8352931.84,10414472.53,69425560.58,55,26,4,Medio,Cumplido,2,6
PROJ00827,2023,Sur,Residencial,16946497.13,976794.89,3284316.08,12685386.159999998,21,9,2,Bajo,Cumplido,4,14
PROJ00828,2019,Oeste,Comercial,5772119.32,502893.9,772063.48,4497161.9399999995,17,19,1,Bajo,Cumplido,6,13
PROJ00829,2020,Oeste,Infraestructura,25925431.29,2080904.14,3933075.94,19911451.209999997,33,27,7,Bajo,Cumplido,3,4
PROJ00830,2018,Centro,Infraestructura,38811759.17,3360998.8,6697128.12,28753632.250000004,18,15,7,Medio,Cumplido,4,4
PROJ00831,2021,Centro,Comercial,100000000.0,6185294.36,19952259.34,73862446.3,34,27,4,Bajo,Cumplido,2,15
PROJ00832,2021,Este,Residencial,14694167.73,1699967.57,1711996.12,11282204.04,25,19,8,Bajo,Cumplido,5,4
PROJ00833,2017,Sur,Comercial,13346618.65,771000.78,2372078.26,10203539.610000001,57,43,7,Alto,Cumplido,2,2
PROJ00834,2018,Este,Salud,100000000.0,11962567.78,12536970.62,75500461.6,16,49,6,Alto,Cumplido,2,14
PROJ00835,2020,Centro,Infraestructura,1764933.67,129888.37,242327.77,1392717.5299999998,52,27,6,Bajo,Cumplido,10,14
PROJ00836,2022,Norte,Infraestructura,100000000.0,11968281.21,15497703.79,72534015.0,51,40,8,Bajo,Cumplido,1,5
PROJ00837,2015,Sur,Comercial,100000000.0,9485054.75,10995298.92,79519646.33,52,19,2,Medio,Cumplido,0,12
PROJ00838,2022,Oeste,Residencial,99058672.95,14466851.73,18838230.99,65753590.230000004,56,42,3,Alto,Cumplido,5,3
PROJ00839,2016,Norte,Industrial,9367580.97,833535.59,1379568.32,7154477.0600000005,32,50,7,Bajo,Cumplido,2,13
PROJ00840,2017,Norte,Educación,100000000.0,13179133.16,14722827.68,72098039.16,39,10,8,Bajo,Cumplido,2,12
PROJ00841,2020,Oeste,Comercial,74608805.98,10737493.43,10971056.16,52900256.39,17,29,9,Bajo,Cumplido,5,1
PROJ00842,2015,Este,Infraestructura,21828589.0,1172940.8,2371451.47,18284196.73,43,18,1,Medio,Cumplido,5,3
PROJ00843,2020,Sur,Residencial,17475882.27,1921729.97,2051592.86,13502559.44,18,8,9,Medio,Cumplido,3,7
PROJ00844,2023,Norte,Comercial,30523204.98,2319342.19,3902627.9,24301234.89,21,46,2,Alto,Cumplido,2,7
PROJ00845,2023,Este,Educación,87110456.84,6395958.14,13830617.55,66883881.150000006,30,47,6,Bajo,Cumplido,2,7
PROJ00846,2017,Oeste,Infraestructura,48872494.2,4943398.22,9755494.82,34173601.160000004,36,14,6,Bajo,Cumplido,3,12
PROJ00847,2020,Este,Infraestructura,65241213.78,9399945.77,8922936.8,46918331.21000001,23,37,2,Bajo,No Cumplido,3,11
PROJ00848,2018,Norte,Industrial,34480284.75,1937532.27,6372817.94,26169934.54,30,45,5,Bajo,Cumplido,2,11
PROJ00849,2016,Sur,Comercial,7549625.26,1101593.47,765379.94,5682651.85,58,6,2,Medio,No Cumplido,4,7
PROJ00850,2022,Sur,Residencial,50824115.45,6640643.02,9011535.11,35171937.32000001,17,39,4,Bajo,Cumplido,4,1
